[media-api-0.0.0.0-9101] 2021-05-07 11:56:53.526 | INFO 15064 [main] [] com.alibaba.nacos.spring.context.event.LoggingNacosConfigMetadataEventListener Nacos Config Metadata : dataId='media-api', groupId='mp', beanName='mpMediaApiApplication', bean='null', beanType='class com.asl.mp.MpMediaApiApplication', annotatedElement='null', xmlResource='null', nacosProperties='{maxRetry=${nacos.config.nacos.${nacos.maxRetry:}}, configRetryTime=${nacos.config.nacos.${nacos.configRetryTime:}}, serverAddr=192.168.180.3:8848, encode=UTF-8, configLongPollTimeout=${nacos.config.nacos.${nacos.configLongPollTimeout:}}}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}}', source='org.springframework.core.type.StandardAnnotationMetadata@68f1b17f', timestamp='1620359809612'
[media-api-0.0.0.0-9101] 2021-05-07 11:56:53.561 | INFO 15064 [main] [] com.asl.mp.MpMediaApiApplication Started MpMediaApiApplication in 6.172 seconds (JVM running for 7.302)
[media-api-0.0.0.0-9101] 2021-05-07 11:56:54.718 | INFO 15064 [RMI TCP Connection(3)-10.2.134.176] [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring DispatcherServlet 'dispatcherServlet'
[media-api-0.0.0.0-9101] 2021-05-07 11:56:54.718 | INFO 15064 [RMI TCP Connection(3)-10.2.134.176] [] org.springframework.web.servlet.DispatcherServlet Initializing Servlet 'dispatcherServlet'
[media-api-0.0.0.0-9101] 2021-05-07 11:56:54.740 | INFO 15064 [RMI TCP Connection(3)-10.2.134.176] [] org.springframework.web.servlet.DispatcherServlet Completed initialization in 21 ms
[media-api-0.0.0.0-9104] 2021-05-07 13:27:10.129 | INFO 6948 [background-preinit] [] org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.7.Final
[media-api-0.0.0.0-9104] 2021-05-07 13:27:10.148 | INFO 6948 [main] [] com.alibaba.boot.nacos.config.autoconfigure.NacosConfigApplicationContextInitializer [Nacos Config Boot] : The preload configuration is not enabled
[media-api-0.0.0.0-9104] 2021-05-07 13:27:10.153 | INFO 6948 [main] [] com.asl.mp.MpMediaApiApplication Starting MpMediaApiApplication on DESKTOP-2SGBB5K with PID 6948 (C:\Users\anson\IdeaProjects\mp\mp-media-api\target\classes started by anson in C:\Users\anson\IdeaProjects\mp)
[media-api-0.0.0.0-9104] 2021-05-07 13:27:10.153 | INFO 6948 [main] [] com.asl.mp.MpMediaApiApplication The following profiles are active: dev
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.097 | WARN 6948 [main] [] org.mybatis.spring.mapper.ClassPathMapperScanner No MyBatis mapper was found in '[com.asl.mp]' package. Please check your configuration.
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.436 | INFO 6948 [main] [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 9104 (http)
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.443 | INFO 6948 [main] [] org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-9104"]
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.443 | INFO 6948 [main] [] org.apache.catalina.core.StandardService Starting service [Tomcat]
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.444 | INFO 6948 [main] [] org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.43]
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.510 | INFO 6948 [main] [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.510 | INFO 6948 [main] [] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 1304 ms
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.629 | WARN 6948 [main] [] org.springframework.boot.actuate.endpoint.EndpointId Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
[media-api-0.0.0.0-9104] 2021-05-07 13:27:11.993 | INFO 6948 [main] [] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
[media-api-0.0.0.0-9104] 2021-05-07 13:27:12.170 | INFO 6948 [main] [] com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure Init DruidDataSource
[media-api-0.0.0.0-9104] 2021-05-07 13:27:12.260 | INFO 6948 [main] [] com.alibaba.druid.pool.DruidDataSource {dataSource-1} inited
[media-api-0.0.0.0-9104] 2021-05-07 13:27:12.784 | INFO 6948 [main] [] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 2 endpoint(s) beneath base path '/actuator'
[media-api-0.0.0.0-9104] 2021-05-07 13:27:12.826 | INFO 6948 [main] [] org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-9104"]
[media-api-0.0.0.0-9104] 2021-05-07 13:27:12.840 | INFO 6948 [main] [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 9104 (http) with context path ''
[media-api-0.0.0.0-9104] 2021-05-07 13:27:12.852 | INFO 6948 [main] [] com.alibaba.nacos.spring.context.event.LoggingNacosConfigMetadataEventListener Nacos Config Metadata : dataId='media-api', groupId='mp', beanName='mpMediaApiApplication', bean='null', beanType='class com.asl.mp.MpMediaApiApplication', annotatedElement='null', xmlResource='null', nacosProperties='{maxRetry=${nacos.config.nacos.${nacos.maxRetry:}}, configRetryTime=${nacos.config.nacos.${nacos.configRetryTime:}}, serverAddr=192.168.180.3:8848, encode=UTF-8, configLongPollTimeout=${nacos.config.nacos.${nacos.configLongPollTimeout:}}}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}}', source='org.springframework.core.type.StandardAnnotationMetadata@5b3f61ff', timestamp='1620365230913'
[media-api-0.0.0.0-9104] 2021-05-07 13:27:12.868 | INFO 6948 [main] [] com.asl.mp.MpMediaApiApplication Started MpMediaApiApplication in 3.242 seconds (JVM running for 3.904)
[media-api-0.0.0.0-9104] 2021-05-07 13:27:13.180 | INFO 6948 [RMI TCP Connection(3)-10.2.134.176] [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring DispatcherServlet 'dispatcherServlet'
[media-api-0.0.0.0-9104] 2021-05-07 13:27:13.181 | INFO 6948 [RMI TCP Connection(3)-10.2.134.176] [] org.springframework.web.servlet.DispatcherServlet Initializing Servlet 'dispatcherServlet'
[media-api-0.0.0.0-9104] 2021-05-07 13:27:13.188 | INFO 6948 [RMI TCP Connection(3)-10.2.134.176] [] org.springframework.web.servlet.DispatcherServlet Completed initialization in 7 ms
